Table 1
,,,,
Player,Position,Nationality,,
"Dean Henderson", Goalkeeper, England,,
"Jordan Henderson",Midfielder,England,,
"Jeff Hendrick",Midfielder,Ireland,,
"Wayne Hennessey",Goalkeeper,Wales,,
"Rico Henry",Defender,England,,
"Yangel Herrera",Midfielder,Venezuela,,
"Aaron Hickey",Defender,Scotland,,
"James Hill",Defender,England,,
"Leo Hjelde",Defender,Norway,,
"Joseph Hodge",Midfielder,Ireland,,
"Ki-Jana Hoever",Defender,Netherlands,,
"Rob Holding",Defender,England,,
"Mason Holgate",Defender,England,,
"Ethan Horvath",Goalkeeper,United States,,
"Conor Hourihane",Midfielder,Ireland,,
"Callum Hudson-Odoi",Forward,England,,
"Will Hughes",Midfielder,England,,
"Omari Hutchinson",Midfielder,England,,
"Hee-Chan Hwang",Forward,South Korea,,
"Pierre-Emile Højbjerg",Midfielder,Denmark,,
"Kelechi Iheanacho",Forward,Nigeria,,
"Danny Ings",Forward,England,,
"Nicolas Ioannou",Defender,Cyprus,,
"Tim Iroegbunam",Midfielder,England,,
"Ivan Cavaleiro",Forward,Portugal,,
"Daniel Iversen",Goalkeeper,Denmark,,
"Alex Iwobi",Forward,Nigeria,,
"Eldin Jakupovic",Goalkeeper,Switzerland,,
"Daniel James", Forward, Wales,,
"Reece James",Defender,England,,
"Vitaly Janelt",Midfielder,Germany,,
"Pontus Jansson",Defender,Sweden,,
"Julian Jeanvier",Defender,Guinea,,
"Jack Jenkins",Midfielder,England,,
"Teddy Jenks",Midfielder,England,,
"Mathias Jensen",Midfielder,Denmark,,
"Jeong Sang-Bin",Forward,South Korea,,
"Raúl Jiménez",Forward,Mexico,,
"João Cancelo",Defender,Portugal,,
"João Moutinho",Midfielder,Portugal,,
"João Palhinha",Midfielder,Portugal,,
"João Virgínia",Goalkeeper,Portugal,,
"Joelinton",Forward,Brazil,,
"Nile John",Midfielder,England,,
"Ben Johnson", Defender, England,,
"Brennan Johnson",Forward,Wales,,
"Sam Johnstone",Goalkeeper,England,,
"Curtis Jones",Midfielder,England,,
"Jonny",Defender,Spain,,
"Jorginho",Midfielder,Italy,,
"José Sá",Goalkeeper,Portugal,,
"James Justin",Defender,England,,
"Issa Kaboré",Defender,Burkina Faso,,
"Boubacar Kamara",Midfielder,France,,
"Harry Kane",Forward,England,,
"N'Golo Kanté",Midfielder,France,,
"Michal Karbownik",Defender,Poland,,
"Nikola Karczewska",Forward,Poland,,
"Loris Karius",Goalkeeper,Germany,,
"Hayao Kawabe",Midfielder,Japan,,
"Kayky",Forward,Brazil,,
"Moise Kean",Forward,Italy,,
"Michael Keane",Defender,England,,
"Neeskens Kebano",Midfielder,DR Congo,,
"Joshua Keeley",Goalkeeper,Ireland,,
"Thilo Kehrer",Defender,Germany,,
"Naby Keïta",Midfielder,Guinea,,
"Caoimhín Kelleher",Goalkeeper,Ireland,,
"Lloyd Kelly",Defender,England,,
"Kenedy",Forward,Brazil,,
"Nohan Kenneh",Midfielder,England,,
"Jonjoe Kenny",Defender,England,,
"Reda Khadra",Midfielder,Germany,,
"Kiko Casilla",Goalkeeper,Spain,,
"Gavin Kilkenny",Midfielder,Ireland,,
"Max Kilman",Defender,England,,
"Alex Kirk",Defender,England,,
"Kristoffer Klaesson",Goalkeeper,Norway,,
"Mateusz Klich",Midfielder,Poland,,
"Ben Knight",Forward,England,,
"Anthony Knockaert",Midfielder,France,,
"Robin Koch",Defender,Germany,,
"Sead Kolasinac",Defender,Bosnia & Herzegovina,,
"Ibrahima Konaté",Defender,France,,
"Terence Kongolo",Defender,Netherlands,,
"Ezri Konsa Ngoyo",Defender,England,,
"Kalidou Koulibaly",Defender,Senegal,,
"Billy Koumetio",Defender,France,,
"Cheikhou Kouyaté",Midfielder,Senegal,,
"Mateo Kovacic",Midfielder,Croatia,,
"Matej Kovár",Goalkeeper,Czech Republic,,
"Kacper Kozlowski",Midfielder,Poland,,
"Emil Krafth",Defender,Sweden,,
"Alex Král",Midfielder,Czech Republic,,
"Rasmus Kristensen",Defender,Denmark,,
"Dejan Kulusevski",Midfielder,Sweden,,
