Table 1
,,,,,,,,,,,,,,,,,,
id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,
6552,Bryan Mbeumo,2,167,1,0.472263365983963,0,0.185684502124786,4,1,0,0,F,Brentford,1,0.472263365983963,0.657947868108749,0,
6691,Dejan Kulusevski,2,178,1,0.187367796897888,1,0.5757936835289,2,3,0,0,M,Tottenham,1,0.187367796897888,1.15888774394989,0.395726233720779,
6818,James Maddison,2,180,1,0.391410157084465,1,0.172102272510529,8,6,0,0,M,Leicester,1,0.391410157084465,0.494050845503807,0.172602973878384,
6837,Ryan Sessegnon,2,128,1,0.744001269340515,0,0,3,0,1,0,D,Tottenham,1,0.744001269340515,0.784022986888886,0.703085243701935,
7166,Mathias Jensen,2,138,1,0.245567336678505,1,0.0740688275545836,2,2,0,0,M,Brentford,1,0.245567336678505,0.517992697656155,0.384706072509289,
7814,Taiwo Awoniyi,2,100,1,0.651374816894531,0,0,2,0,0,0,F S,Nottingham Forest,1,0.651374816894531,0.712541997432709,0.0611671768128872,
8067,Reece James,2,180,1,0.552869647741318,0,0.635107964277268,4,4,2,0,D,Chelsea,1,0.552869647741318,1.72976332902908,1.26220762729645,
8291,Daniel Podence,2,180,1,0.521415814757347,0,0.1682448387146,4,4,1,0,M,Wolverhampton Wanderers,1,0.521415814757347,1.13673928380013,0.51350275427103,
9739,Kiernan Dewsbury-Hall,2,164,1,0.0478361491113901,0,0.0132362097501755,2,1,0,0,M,Leicester,1,0.0478361491113901,0.237266145646572,0.197456322610378,
10408,Luis Díaz,2,170,1,0.416259601712227,0,0.00984079111367464,5,1,1,0,F,Liverpool,1,0.416259601712227,1.22416174411774,0.957498222589493,
10720,Darwin Núñez,2,97,1,2.49590849876404,1,0.491571009159088,9,2,0,1,F S,Liverpool,1,2.49590849876404,3.02428317070007,0.0368035957217217,
10743,Kieffer Moore,2,180,1,0.0272380728274584,0,0.0420541763305664,1,1,0,0,F,Bournemouth,1,0.0272380728274584,0.391076028347015,0.349021852016449,
10766,Joe Ayodele-Aribo,2,115,1,0.821739744395018,0,0,4,0,0,0,F S,Southampton,1,0.821739744395018,0.856034241616726,0.0342944972217083,
87,Joelinton,2,180,0,0.241065308451653,1,0.305680710822344,3,4,1,0,M,Newcastle United,0,0.241065308451653,1.23975916951895,1.03299924731255,
