"","player_name","goals_GW2","assists_GW2","xG_GW2","xA_GW2","goals_GW3","assists_GW3","xG_GW3","xA_GW3"
"272","Rayan Ait Nouri",0,0,0,0.573528036475182,0,0,0.0823923572897911,0.573528036475182
"273","Reece James",1,0,0.552869647741318,0.635107964277268,1,0,0.56542157381773,0.688703805208206
"274","Richarlison",0,0,0,0,0,0,0.0740863233804703,0
"275","Rico Henry",0,1,0.0858915820717812,0.442574232816696,0,1,0.137481387704611,0.442574232816696
"276","Rico Lewis",0,0,0,0,0,0,0,0
"277","Riyad Mahrez",0,0,0.0797186270356178,0.0852567898109555,0,0,0.0797186270356178,0.0852567898109555
"278","Robert Sánchez",0,0,0,0,0,0,0,0
"279","Roberto Firmino",0,0,0,0,0,0,0.0172583013772964,0.0704152882099152
"280","Robin Koch",0,0,0.0326780863106251,0,0,0,0.0326780863106251,0
"281","Rodri",0,0,0.121663270518184,0,0,1,0.285234583541751,0.54152637720108
"282","Rodrigo",3,0,1.55203185975552,0.416053742170334,4,1,2.25734893977642,1.34126392006874
"283","Rodrigo Bentancur",0,0,0,0,0,0,0,0
"284","Romain Perraud",0,0,0.0342944972217083,0,0,0,0.0342944972217083,0
"285","Romeo Lavia",0,0,0.0186763536185026,0.0180074274539948,0,0,0.0326027888804674,0.0180074274539948
"286","Rúben Dias",0,0,0.0141417384147644,0,0,0,0.454106956720352,0.0946145579218864
"287","Ruben Loftus-Cheek",0,0,0.101747423410416,0.202103570103645,0,0,0.241201430559158,0.259826730936766
"288","Rúben Neves",0,0,0.0713051958009601,0.135649278759956,0,0,0.159526142291725,0.208480179309845
"289","Rúben Vinagre",0,0,0,0,0,0,0,0
"290","Ryan Christie",0,0,0,0,0,0,0,0
"291","Ryan Fraser",0,0,0,0.0552302040159702,0,0,0,0.0552302040159702
"292","Ryan Sessegnon",1,0,0.744001269340515,0,1,0,0.744001269340515,0
"293","Said Benrahma",0,0,0.123613178730011,0.345908641815186,0,0,0.201858311891556,0.345908641815186
"294","Salomón Rondón",0,0,0.596228182315826,0.0898458585143089,0,0,0.748305171728134,0.126521740108728
"295","Sam Greenwood",0,0,0.137111350893974,0,0,0,0.137111350893974,0
"296","Sam Surridge",0,0,0.117727383971214,0,0,0,0.117727383971214,0
"297","Scott McKenna",0,0,0,0,0,0,0,0
"298","Scott McTominay",0,0,0.0705735832452774,0,0,0,0.0705735832452774,0
"299","Sean Longstaff",0,0,0,0.400525093078613,0,0,0,0.400525093078613
"300","Sékou Mara",0,1,0.0135605847463012,0.278778076171875,0,1,0.0867415061220527,0.278778076171875
"301","Shandon Baptiste",0,0,0,0,0,0,0.0266797598451376,0.0487010292708874
"302","Shane Duffy",0,0,0,0,0,0,0,0
"303","Solly March",0,0,0.271713148802519,0.411281675100327,0,0,0.716089855879545,0.411281675100327
"304","Son Heung-Min",0,1,0.789056897163391,0.266887581907213,0,1,1.05745625495911,0.266887581907213
"305","Steve Cook",0,0,0,0,0,0,0,0
"306","Stuart Armstrong",0,0,0.107863731682301,0.054240494966507,0,0,0.128816867247224,0.178749367594719
"307","Sven Botman",0,0,0,0,0,0,0.0548932030797005,0.504112243652344
"308","Taiwo Awoniyi",1,0,0.651374816894531,0,1,0,0.721499606966972,0.0764736086130142
"309","Takehiro Tomiyasu",0,0,0,0,0,0,0,0
"310","Tariq Lamptey",0,0,0,0,0,0,0,0
"311","Thiago Alcántara",0,0,0,0.0613881051540375,0,0,0,0.0613881051540375
"312","Thiago Silva",0,0,0,0.0773603171110153,0,0,0.0133389504626393,0.0773603171110153
"313","Thomas Partey",0,0,0.280074745416641,0.0576273314654827,0,0,0.280074745416641,0.0576273314654827
"314","Tim Ream",0,0,0,0,0,0,0,0
"315","Timothy Castagne",1,0,0.0558431744575501,0,1,0,0.0558431744575501,0
"316","Tom Cairney",0,0,0,0,0,0,0,0.28972402215004
"317","Tom Davies",0,0,0.12319328635931,0,0,0,0.208034202456474,0.0514363944530487
"318","Tomas Soucek",0,0,0.59136176109314,0,0,0,0.874744415283203,0
"319","Tosin Adarabioyo",0,0,0,0,0,0,0,0
"320","Trent Alexander-Arnold",0,0,0.145500510931015,0.949059074744582,0,0,0.163477914407849,1.0033455658704
"321","Tyler Adams",0,0,0.0152422254905105,0.0281606893986464,0,0,0.0330879343673587,0.118732733651996
"322","Tyrell Malacia",0,0,0.0144776627421379,0,0,0,0.0144776627421379,0
"323","Tyrese Francois",0,0,0,0,0,0,0,0
"324","Tyrick Mitchell",0,0,0,0,0,1,0,0.4634790122509
"325","Tyrone Mings",0,0,0,0,0,0,0,0
