"","Player","Nationality","team_title","Position","goals","assists"
"156","Jeffrey Schlupp","Ghana","Crystal Palace","Midfielder",0,0
"157","Jesse Lingard","England","Nottingham Forest","Midfielder",0,0
"158","Joachim Andersen","Denmark","Crystal Palace","Defender",0,0
"159","João Cancelo","Portugal","Manchester City","Defender",0,0
"160","João Moutinho","Portugal","Wolverhampton Wanderers","Midfielder",0,0
"161","João Palhinha","Portugal","Fulham","Midfielder",1,0
"162","Joe Ayodele-Aribo","Nigeria","Southampton","Midfielder",1,0
"163","Joe Gelhardt","England","Leeds","Forward",0,0
"164","Joe Willock","England","Newcastle United","Midfielder",0,0
"165","Joe Worrall","England","Nottingham Forest","Defender",0,0
"166","Joel Matip","Cameroon","Liverpool","Defender",0,0
"167","Joël Veltman","Netherlands","Brighton","Defender",0,0
"168","Joel Ward","England","Crystal Palace","Defender",0,0
"169","Joelinton","Brazil","Newcastle United","Forward",0,1
"170","John McGinn","Scotland","Aston Villa","Midfielder",0,0
"171","John Stones","England","Manchester City","Defender",0,0
"172","Jonny","Spain","Wolverhampton Wanderers","Defender",0,0
"173","Jonny Evans","Northern Ireland","Leicester","Defender",0,0
"174","Jordan Ayew","Ghana","Crystal Palace","Forward",0,0
"175","Jordan Henderson","England","Liverpool","Midfielder",0,0
"176","Jordan Pickford","England","Everton","Goalkeeper",0,1
"177","Jordan Zemura","Zimbabwe","Bournemouth","Defender",0,0
"178","Jorginho","Italy","Chelsea","Midfielder",1,0
"179","José Sá","Portugal","Wolverhampton Wanderers","Goalkeeper",0,0
"180","Joseph Gomez","England","Liverpool","Defender",0,0
"181","Josh Dasilva","England","Brentford","Midfielder",2,0
"182","Julián Álvarez","Argentina","Manchester City","Forward",0,0
"183","Junior Stanislas","England","Bournemouth","Midfielder",0,0
"184","Kai Havertz","Germany","Chelsea","Midfielder",0,0
"185","Kalidou Koulibaly","Senegal","Chelsea","Defender",1,0
"186","Kalvin Phillips"," England","Manchester City"," Midfielder",0,0
"187","Kaoru Mitoma","Japan","Brighton","Forward",0,0
"188","Keane Lewis-Potter","England","Brentford","Forward",0,0
"189","Kelechi Iheanacho","Nigeria","Leicester","Forward",0,1
"190","Kenny Tete","Netherlands","Fulham","Defender",0,1
"191","Kevin De Bruyne","Belgium","Manchester City","Midfielder",1,3
"192","Kevin Mbabu","Switzerland","Fulham","Defender",0,1
"193","Kieffer Moore","Wales","Bournemouth","Forward",1,0
"194","Kieran Tierney","Scotland","Arsenal","Defender",0,0
"195","Kieran Trippier","England","Newcastle United","Defender",1,0
"196","Kiernan Dewsbury-Hall","England","Leicester","Midfielder",1,0
"197","Konstantinos Tsimikas","Greece","Liverpool","Defender",0,0
"198","Kurt Zouma","France","West Ham","Defender",0,0
"199","Kyle Walker","England","Manchester City","Defender",0,0
"200","Kyle Walker-Peters","England","Southampton","Defender",1,0
"201","Leander Dendoncker"," Belgium","Wolverhampton Wanderers"," Midfielder",0,0
"202","Leandro Trossard","Belgium","Brighton","Forward",1,0
"203","Leon Bailey","Jamaica","Aston Villa","Forward",0,1
"204","Levi Colwill","England","Brighton","Midfielder",0,0
"205","Lewis Cook","England","Bournemouth","Midfielder",0,0
"206","Lewis Dunk","England","Brighton","Defender",0,0
"207","Lewis O'Brien"," England","Nottingham Forest"," Midfielder",0,0
"208","Lisandro Martínez"," Argentina","Manchester United"," Defender",0,0
"209","Lloyd Kelly","England","Bournemouth","Defender",0,1
"210","Lucas Digne","France","Aston Villa","Defender",0,0
"211","Lucas Moura","Brazil","Tottenham","Forward",0,0
"212","Luis Díaz","Colombia","Liverpool","Forward",1,0
"213","Luis Sinisterra","Colombia","Leeds","Forward",0,0
"214","Luka Milivojevic","Serbia","Crystal Palace","Midfielder",0,0
"215","Lukasz Fabianski","Poland","West Ham","Goalkeeper",0,0
"216","Luke Shaw","England","Manchester United","Defender",0,0
"217","Lyanco","Brazil","Southampton","Defender",0,0
"218","Mads Bech Sørensen","Denmark","Brentford","Defender",0,0
"219","Mads Roerslev","Denmark","Brentford","Defender",0,0
"220","Malcolm Ebiowei","England","Crystal Palace","Midfielder",0,0
"221","Manor Solomon","Israel","Fulham","Forward",0,0
"222","Manuel Lanzini","Argentina","West Ham","Midfielder",0,0
"223","Marc Cucurella","Spain","Chelsea","Defender",0,1
"224","Marc Guehi","England","Crystal Palace","Defender",0,0
"225","Marc Roca","Spain","Leeds","Midfielder",0,0
"226","Marcos Senesi","Argentina","Bournemouth","Defender",0,0
"227","Marcus Rashford","England","Manchester United","Forward",1,0
"228","Marcus Tavernier","England","Bournemouth","Midfielder",0,0
"229","Marek Rodák","Slovakia","Fulham","Goalkeeper",0,0
"230","Mark Travers","Ireland","Bournemouth","Goalkeeper",0,0
"231","Martin Ødegaard","Norway","Arsenal","Midfielder",2,0
"232","Mason Holgate","England","Everton","Defender",0,0
"233","Mason Mount","England","Chelsea","Midfielder",0,0
"234","Mateusz Klich","Poland","Leeds","Midfielder",0,0
"235","Matheus Nunes","Portugal","Wolverhampton Wanderers","Midfielder",0,0
"236","Mathias Jensen","Denmark","Brentford","Midfielder",1,2
"237","Matt Doherty","Ireland","Tottenham","Defender",0,0
"238","Matt Targett","England","Newcastle United","Defender",0,0
"239","Matthew Cash","Poland","Aston Villa","Defender",0,0
"240","Max Kilman","England","Wolverhampton Wanderers","Defender",0,0
"241","Maxwel Cornet","Cote D’Ivoire","West Ham","Forward",0,0
"242","Michael Olise","France","Crystal Palace","Midfielder",0,0
"243","Michail Antonio","Jamaica","West Ham","Midfielder",0,0
"244","Miguel Almirón","Paraguay","Newcastle United","Midfielder",1,0
"245","Mohamed Elyounoussi","Norway","Southampton","Midfielder",0,0
"246","Mohamed Salah","Egypt","Liverpool","Forward",2,0
"247","Mohammed Salisu","Ghana","Southampton","Defender",0,0
"248","Moisés Caicedo","Ecuador","Brighton","Midfielder",0,0
"249","Morgan Gibbs-White","England","Nottingham Forest,Wolverhampton Wanderers","Midfielder",0,0
"250","Moussa Djenepo","Mali","Southampton","Midfielder",0,1
"251","Moussa Niakhate","France","Nottingham Forest","Defender",0,0
"252","N'Golo Kanté","France","Chelsea","Midfielder",0,0
"253","Nathan Aké","Netherlands","Manchester City","Defender",0,0
"254","Nathan Collins","Ireland","Wolverhampton Wanderers","Defender",0,0
"255","Nathan Patterson","Scotland","Everton","Defender",0,0
"256","Nathan Redmond","England","Southampton","Midfielder",0,0
"257","Nathaniel Clyne","England","Crystal Palace","Defender",0,0
"258","Nathaniel Phillips","England","Liverpool","Defender",0,0
"259","Neco Williams"," Wales","Nottingham Forest"," Defender",0,0
"260","Neeskens Kebano","DR Congo","Fulham","Midfielder",0,0
"261","Nélson Semedo","Portugal","Wolverhampton Wanderers","Defender",0,0
"262","Nick Pope","England","Newcastle United","Goalkeeper",0,0
"263","Odsonne Edouard","France","Crystal Palace","Forward",0,1
"264","Oleksandr Zinchenko","Ukraine","Arsenal","Midfielder",0,1
"265","Ollie Watkins","England","Aston Villa","Forward",1,2
"266","Orel Mangala","Belgium","Nottingham Forest","Midfielder",0,0
"267","Oriol Romeu","Spain","Southampton","Midfielder",0,0
"268","Pablo Fornals","Spain","West Ham","Midfielder",0,0
"269","Pascal Groß","Germany","Brighton","Midfielder",2,1
"270","Pascal Struijk","Netherlands","Leeds","Defender",0,1
"271","Patrick Bamford","England","Leeds","Forward",0,0
"272","Patson Daka","Zambia","Leicester","Forward",0,0
"273","Pedro Neto","Portugal","Wolverhampton Wanderers","Forward",0,0
"274","Phil Foden","England","Manchester City","Midfielder",1,1
"275","Philip Billing","Denmark","Bournemouth","Midfielder",0,0
"276","Philippe Coutinho","Brazil","Aston Villa","Midfielder",0,0
"277","Pierre-Emile Højbjerg","Denmark","Tottenham","Midfielder",1,0
"278","Pontus Jansson","Sweden","Brentford","Defender",0,0
"279","Raheem Sterling","England","Chelsea","Forward",0,1
"280","Raphael Varane","France","Manchester United","Defender",0,0
"281","Rasmus Kristensen","Denmark","Leeds","Defender",0,0
"282","Raúl Jiménez","Mexico","Wolverhampton Wanderers","Forward",0,0
"283","Rayan Ait Nouri","France","Wolverhampton Wanderers","Defender",0,0
"284","Reece James","England","Chelsea","Defender",1,0
"285","Richarlison","Brazil","Tottenham","Forward",0,0
"286","Rico Henry","England","Brentford","Defender",0,1
"287","Rico Lewis","England","Manchester City","Defender",0,0
"288","Riyad Mahrez","Algeria","Manchester City","Forward",0,0
"289","Robert Sánchez","Spain","Brighton","Goalkeeper",0,0
"290","Roberto Firmino","Brazil","Liverpool","Forward",0,0
"291","Robin Koch","Germany","Leeds","Defender",0,0
"292","Rodri","Spain","Manchester City","Midfielder",0,1
"293","Rodrigo","Spain","Leeds","Forward",4,1
"294","Rodrigo Bentancur","Uruguay","Tottenham","Midfielder",0,0
"295","Romain Perraud","France","Southampton","Defender",0,0
"296","Romeo Lavia","Belgium","Southampton","Midfielder",0,0
"297","Rúben Dias","Portugal","Manchester City","Defender",0,0
"298","Ruben Loftus-Cheek","England","Chelsea","Midfielder",0,0
"299","Rúben Neves","Portugal","Wolverhampton Wanderers","Midfielder",0,0
"300","Rúben Vinagre","Portugal","Everton","Defender",0,0
"301","Ryan Christie","Scotland","Bournemouth","Midfielder",0,0
"302","Ryan Fraser","Scotland","Newcastle United","Midfielder",0,0
"303","Ryan Sessegnon","England","Tottenham","Midfielder",1,0
"304","Ryan Yates","England","Nottingham Forest","Midfielder",0,0
"305","Said Benrahma","Algeria","West Ham","Forward",0,0
"306","Salomón Rondón","Venezuela","Everton","Forward",0,0
"307","Sam Surridge","England","Nottingham Forest","Forward",0,0
"308","Saman Ghoddos","Iran","Brentford","Forward",0,0
"309","Scott McKenna","Scotland","Nottingham Forest","Defender",0,0
"310","Scott McTominay","Scotland","Manchester United","Midfielder",0,0
"311","Sean Longstaff","England","Newcastle United","Midfielder",0,0
"312","Sékou Mara","France","Southampton","Forward",0,1
"313","Shandon Baptiste","Grenada","Brentford","Midfielder",0,0
"314","Shane Duffy","Ireland","Fulham","Defender",0,0
"315","Solly March","England","Brighton","Midfielder",0,0
"316","Son Heung-Min","South Korea","Tottenham","Forward",0,1
"317","Stuart Armstrong","Scotland","Southampton","Midfielder",0,0
"318","Sven Botman","Netherlands","Newcastle United","Defender",0,0
"319","Taiwo Awoniyi","Nigeria","Nottingham Forest","Forward",1,0
